,0,1,cluster,SMILES_standardized
0,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1-n1c(=NC(=O)N([H])c2c([H])c([H])c(OC([H])([H])C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c3c([H])c([H])c([H])c([H])c23)c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])n1[H],1,0,Cc1ccc(-n2[nH]c(C(C)(C)C)cc2=NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
1,[H]c1nc([H])c(OC([H])([H])c2c([H])c(=NC(=O)N=c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])n([H])n3-c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])n([H])n2[H])c([H])c1[H],2,0,Cc1ccc(-n2[nH]c(C(C)(C)C)cc2=NC(=O)N=c2cc(COc3cccnc3)[nH][nH]2)cc1
2,[H]Oc1c([H])c2c([H])c(N=c3n([H])c([H])c(C(F)(F)F)c(=NC([H])([H])c4c(N(C([H])([H])[H])S(=O)(=O)C([H])([H])[H])nc([H])c([H])c4[H])n3[H])c([H])c([H])c2n1[H],3,0,CN(c1ncccc1CN=c1[nH]c(=Nc2ccc3[nH]c(O)cc3c2)[nH]cc1C(F)(F)F)S(C)(=O)=O
3,[H]c1nc(C(=O)N([H])C([H])([H])[H])c([H])c(Oc2c([H])c([H])c(N([H])C(=O)N([H])c3c([H])c([H])c(Cl)c(C(F)(F)F)c3[H])c([H])c2[H])c1[H],4,0,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
4,[H]c1c([H])c(F)c([H])c(N=c2c3c(n([H])n2[H])-c2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c2C3([H])[H])c1[H],5,1,COc1cc2c(cc1OC)-c1[nH][nH]c(=Nc3cccc(F)c3)c1C2
5,[H]c1nc(Oc2c([H])c([H])c(N([H])C(=O)N([H])c3c([H])c([H])c([H])c(C(F)(F)F)c3[H])c(F)c2[H])c2c(n1)c([H])c([H])n2C([H])([H])[H],6,0,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(F)c3)c21
6,[H]c1c([H])c([H])c(C2([H])N=c3c([H])nn([H])c3=Nc3c([H])c([H])c(C#N)c([H])c32)c(F)c1[H],7,1,N#Cc1ccc2c(c1)C(c1ccccc1F)N=c1cn[nH]c1=N2
7,[H]c1c([H])c([H])c(C2([H])N=c3c([H])nn([H])c3=Nc3c([H])c([H])c(N([H])[H])c([H])c32)c(Cl)c1[H],8,0,Nc1ccc2c(c1)C(c1ccccc1Cl)N=c1cn[nH]c1=N2
8,[H]c1c([H])c([H])c(C2([H])N=c3c([H])nn([H])c3=Nc3c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c32)c(Cl)c1[H],9,0,CC(=O)Nc1ccc2c(c1)C(c1ccccc1Cl)N=c1cn[nH]c1=N2
9,[H]c1c([H])c([H])c(C2([H])N=c3c(C([H])([H])[H])nn([H])c3=Nc3c([H])c([H])c([N+](=O)[O-])c([H])c32)c(Cl)c1[H],10,0,Cc1n[nH]c2c1=NC(c1ccccc1Cl)c1cc([N+](=O)[O-])ccc1N=2
10,[H]N=c1nc(-c2c([H])c(C(=O)N([H])[H])c(-c3c([H])c([H])c([H])c([H])c3[H])n2[H])c([H])c([H])n1[H],11,0,N=c1nc(-c2cc(C(N)=O)c(-c3ccccc3)[nH]2)cc[nH]1
11,[H]c1nc2c(-c3c([H])c4c([H])c([H])c(OC([H])([H])[H])c([H])c4n3[H])n([H])nc2c([H])c1[H],12,1,COc1ccc2cc(-c3[nH]nc4cccnc34)[nH]c2c1
12,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])n1c([H])c([H])c2c1c(=Nc1c([H])c([H])c(Oc3c([H])c([H])c([H])c(C(F)(F)F)c3[H])c(Cl)c1[H])nc([H])n2[H],13,0,CC(C)(O)CC(=O)NCCn1ccc2[nH]cnc(=Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21
13,[H]N=c1c(N([H])C(=O)c2c([H])c(N([H])C(=O)N([H])c3c([H])c([H])c(Cl)c(C(F)(F)F)c3[H])c([H])c([H])c2C([H])([H])[H])c([H])n([H])n1C([H])([H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],14,0,COc1ccc(Cn2[nH]cc(NC(=O)c3cc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)ccc3C)c2=N)cc1
14,[H]OC([H])([H])C([H])([H])n1nc(C(=O)N([H])[H])c2c1-c1nc(=Nc3c([H])c(N4C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C4([H])[H])c([H])c([H])c3OC(F)(F)F)n([H])c([H])c1C([H])([H])C2([H])[H],15,0,CN1CCN(c2ccc(OC(F)(F)F)c(N=c3nc4c(c[nH]3)CCc3c(C(N)=O)nn(CCO)c3-4)c2)CC1
15,[H]c1c([H])c(S(=O)(=O)N([H])C2([H])C([H])([H])C2([H])[H])c([H])c([H])c1N=c1n([H])c([H])c(C(F)(F)F)c(=NC2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])N(C([H])([H])[H])C([H])([H])[H])n1[H],16,0,CN(C)C1CCCC1N=c1[nH]c(=Nc2ccc(S(=O)(=O)NC3CC3)cc2)[nH]cc1C(F)(F)F
16,[H]c1c([H])c([H])c(-c2c([H])c([H])c3c([H])nc(=Nc4c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c4[H])n([H])n23)c([H])c1[H],17,1,COc1cc(N=c2ncc3ccc(-c4ccccc4)n3[nH]2)cc(OC)c1OC
17,[H]c1c([H])c(N2C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1N=c1nc([H])n([H])c(N(C(=O)N([H])c2c(Cl)c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c2Cl)C([H])([H])[H])c1[H],18,0,CCN1CCN(c2ccc(N=c3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)[nH]cn3)cc2)CC1
18,[H]Oc1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])C([H])([H])C2([H])C([H])(O[H])C([H])([H])C([H])([H])C3(C([H])([H])[H])C([H])(C([H])(C([H])=C([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C23[H])c1[H],19,0,Cc1ccc(O)cc1CCC1C(O)CCC2(C)C(C(C)C=CCC(C)C)CCC12
19,[H]Oc1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])C([H])([H])C2([H])C(=O)C([H])([H])C([H])([H])C3(C([H])([H])[H])C2([H])C([H])([H])C([H])([H])C3([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C(=C([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])c1[H],20,0,C=C(CCC(C)C1CCC2C(CCc3cc(O)ccc3C)C(=O)CCC12C)C(C)C
20,[H]c1c([H])c(Cl)c(Cl)c(N([H])C(=O)N([H])c2sc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2C(=O)N2C([H])([H])C([H])([H])C(=O)N(C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H])c1[H],21,0,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O
21,[H]c1c([H])c([H])c(-c2c([H])c([H])c3c([H])nc(=Nc4c([H])c([H])c(C5([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C5([H])[H])c([H])c4OC([H])([H])[H])n([H])n23)c(OC([H])([H])[H])c1[H],22,0,COc1cc(C2CCN(CC(N)=O)CC2)ccc1N=c1ncc2ccc(-c3ccccc3OC)n2[nH]1
22,[H]c1c([H])c([H])c(-c2c([H])c([H])c3c([H])nc(=Nc4c([H])c([H])c(C5([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C5([H])[H])c([H])c4[H])n([H])n23)c(OC([H])([H])[H])c1[H],23,0,COc1ccccc1-c1ccc2cnc(=Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)[nH]n12
23,[H]c1c([H])c([H])c(N(C([H])([H])[H])S(=O)(=O)C([H])([H])[H])c(-c2c([H])c([H])c3c([H])nc(=Nc4c([H])c([H])c(C5([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C5([H])[H])c([H])c4[H])n([H])n23)c1[H],24,0,CN(c1ccccc1-c1ccc2cnc(=Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)[nH]n12)S(C)(=O)=O
24,[H]c1c([H])c(-c2c([H])c([H])c3c([H])nc(=Nc4c([H])c([H])c(C5([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C5([H])[H])c([H])c4[H])n([H])n23)c([H])c(S(=O)(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c1[H],25,0,CC(C)(C)NS(=O)(=O)c1cccc(-c2ccc3cnc(=Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)[nH]n23)c1
25,[H]c1nc(OC([H])([H])[H])c([H])c([H])c1-c1c([H])c([H])c2c([H])nc(=Nc3c([H])c([H])c(C4([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C4([H])[H])c([H])c3[H])n([H])n12,26,0,COc1ccc(-c2ccc3cnc(=Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)[nH]n23)cn1
26,[H]c1c([H])c(-c2c([H])c([H])c3c([H])nc(=Nc4c([H])c([H])c(C5([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C5([H])[H])c([H])c4[H])n([H])n23)c([H])c(N([H])S(=O)(=O)C([H])([H])[H])c1[H],27,0,CS(=O)(=O)Nc1cccc(-c2ccc3cnc(=Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)[nH]n23)c1
27,[H]c1c([H])c(-c2c([H])c([H])c3c([H])nc(=Nc4c([H])c([H])c(C5([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C5([H])[H])c([H])c4[H])n([H])n23)c([H])c(N(C([H])([H])[H])S(=O)(=O)C([H])([H])[H])c1[H],28,0,CN(c1cccc(-c2ccc3cnc(=Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)[nH]n23)c1)S(C)(=O)=O
28,[H]OC([H])([H])c1c([H])c([H])c([H])c(-c2c([H])c([H])c3c([H])nc(=Nc4c([H])c([H])c(C5([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C5([H])[H])c([H])c4[H])n([H])n23)c1[H],29,0,NC(=O)CN1CCC(c2ccc(N=c3ncc4ccc(-c5cccc(CO)c5)n4[nH]3)cc2)CC1
29,[H]c1c([H])c(C2([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1N=c1nc([H])c2c([H])c([H])c(-c3c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c3[H])n2n1[H],30,0,CS(=O)(=O)c1ccc(-c2ccc3cnc(=Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)[nH]n23)cc1
30,[H]c1c([H])c(-c2c([H])c([H])c3c([H])nc(=Nc4c([H])c([H])c(C5([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C5([H])[H])c([H])c4[H])n([H])n23)c([H])c(S(=O)(=O)C([H])([H])[H])c1[H],31,0,CS(=O)(=O)c1cccc(-c2ccc3cnc(=Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)[nH]n23)c1
31,[H]c1nc(N(C([H])([H])[H])S(=O)(=O)C([H])([H])[H])c(-c2c([H])c([H])c3c([H])nc(=Nc4c([H])c([H])c(C5([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C5([H])[H])c([H])c4[H])n([H])n23)c([H])c1[H],32,0,CN(c1ncccc1-c1ccc2cnc(=Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)[nH]n12)S(C)(=O)=O
32,[H]c1nc(-c2c([H])c([H])c3c([H])nc(=Nc4c([H])c([H])c(C5([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C5([H])[H])c([H])c4[H])n([H])n23)c(OC([H])([H])[H])c([H])c1[H],33,0,COc1cccnc1-c1ccc2cnc(=Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)[nH]n12
33,[H]c1nc(-c2c([H])c([H])c3c([H])nc(=Nc4c([H])c([H])c(C5([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C5([H])[H])c([H])c4[H])n([H])n23)nc([H])c1[H],34,0,NC(=O)CN1CCC(c2ccc(N=c3ncc4ccc(-c5ncccn5)n4[nH]3)cc2)CC1
34,[H]c1nc([H])c(-c2c([H])c([H])c3c([H])nc(=Nc4c([H])c([H])c(C5([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C5([H])[H])c([H])c4[H])n([H])n23)nc1[H],35,0,NC(=O)CN1CCC(c2ccc(N=c3ncc4ccc(-c5cnccn5)n4[nH]3)cc2)CC1
35,[H]c1c([H])c2c(c(-c3c([H])c([H])c4c([H])nc(=Nc5c([H])c([H])c(C6([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C6([H])[H])c([H])c5[H])n([H])n34)c1[H])OC(F)(F)O2,36,0,NC(=O)CN1CCC(c2ccc(N=c3ncc4ccc(-c5cccc6c5OC(F)(F)O6)n4[nH]3)cc2)CC1
36,[H]c1c([H])c(C2([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1N=c1nc([H])c2c([H])c([H])c(-c3c([H])c([H])c(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])n2n1[H],37,0,CN(C)Cc1ccc(-c2ccc3cnc(=Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)[nH]n23)cc1
37,[H]c1c([H])c(-c2c([H])c([H])c3c([H])nc(=Nc4c([H])c([H])c(C5([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C5([H])[H])c([H])c4[H])n([H])n23)c2c(c1[H])C([H])([H])N(S(=O)(=O)C([H])([H])[H])C2([H])[H],38,0,CS(=O)(=O)N1Cc2cccc(-c3ccc4cnc(=Nc5ccc(C6CCN(CC(N)=O)CC6)cc5)[nH]n34)c2C1
38,[H]c1nc2c(-c3c([H])c([H])c4c([H])nc(=Nc5c([H])c([H])c(C6([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C6([H])[H])c([H])c5[H])n([H])n34)c([H])c([H])c([H])c2c([H])c1[H],39,0,NC(=O)CN1CCC(c2ccc(N=c3ncc4ccc(-c5cccc6cccnc56)n4[nH]3)cc2)CC1
39,[H]c1c([H])c([H])c(N(C([H])([H])[H])S(=O)(=O)C([H])([H])[H])c(-c2c([H])c(C([H])([H])[H])c3c([H])nc(=Nc4c([H])c([H])c(C5([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C5([H])[H])c([H])c4[H])n([H])n23)c1[H],40,0,Cc1cc(-c2ccccc2N(C)S(C)(=O)=O)n2[nH]c(=Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)ncc12
40,[H]c1c([H])c([H])c(N(C([H])([H])[H])S(=O)(=O)C([H])([H])[H])c(-c2c([H])c(Cl)c3c([H])nc(=Nc4c([H])c([H])c(C5([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[H])C([H])([H])C5([H])[H])c([H])c4[H])n([H])n23)c1[H],41,0,CN(c1ccccc1-c1cc(Cl)c2cnc(=Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)[nH]n12)S(C)(=O)=O
41,[H]c1c(Cl)c(Cl)c2c(c1[H])c1c(n2C([H])([H])[H])C(=O)N([H])C2(C1([H])C#N)C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H],42,0,Cn1c2c(c3ccc(Cl)c(Cl)c31)C(C#N)C1(CCNCC1)NC2=O
42,[H]OC([H])([H])C([H])(O[H])C([H])([H])N([H])C(=O)c1c([H])c([H])c(OC([H])([H])[H])c(C([H])=C([H])c2c([H])c([H])c(Cl)c([H])c2[H])c1[H],43,0,COc1ccc(C(=O)NCC(O)CO)cc1C=Cc1ccc(Cl)cc1
43,[H]OC([H])([H])C([H])(O[H])C([H])([H])N([H])C(=O)c1c([H])c([H])c(OC([H])([H])[H])c(C([H])=C([H])c2c([H])c([H])c(Cl)c([H])c2[H])c1[H],44,0,COc1ccc(C(=O)NCC(O)CO)cc1C=Cc1ccc(Cl)cc1
44,[H]c1c([H])c([H])c2c(c1[H])C(=O)c1c3c(n(C([H])(C([H])([H])[H])C([H])([H])[H])c1-2)C([H])([H])C([H])([H])C([H])([H])C3=O,45,0,CC(C)n1c2c(c3c1-c1ccccc1C3=O)C(=O)CCC2
45,[H]OC([H])([H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])Oc2c(OC([H])([H])[H])c([H])c3c(=Nc4nc([H])c(C([H])([H])C(=O)N([H])c5c([H])c([H])c([H])c(F)c5[H])s4)n([H])c([H])nc3c2[H])C([H])([H])C1([H])[H],46,0,COc1cc2c(=Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)[nH]cnc2cc1OCCCN1CCC(CO)CC1
46,[H]c1c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c1C1=C(c2c([H])n([H])c3c([H])c([H])c([H])c([H])c23)C(=O)N([H])C1=O,47,0,COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc(OC)c1OC
47,[H]c1c([H])c([S+]([O-])(=NC([H])([H])[H])C([H])([H])[H])c([H])c([H])c1N=c1n([H])c([H])c(C(F)(F)F)c(=NC2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])N(C([H])([H])[H])C([H])([H])[H])n1[H],48,0,CN=[S+](C)([O-])c1ccc(N=c2[nH]cc(C(F)(F)F)c(=NC3CCCC3N(C)C)[nH]2)cc1
48,[H]c1c([H])c([S+]([O-])(=NC([H])([H])C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1N=c1n([H])c([H])c(C(F)(F)F)c(=NC2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])N(C([H])([H])[H])C([H])([H])[H])n1[H],49,0,CCN=[S+](C)([O-])c1ccc(N=c2[nH]cc(C(F)(F)F)c(=NC3CCCC3N(C)C)[nH]2)cc1
49,[H]c1nc(-n2c([H])c([H])c3c([H])n([H])c(=Nc4c([H])c([H])c([H])c([H])c4Br)nc32)c([H])c([H])c1[H],50,1,Brc1ccccc1N=c1nc2c(ccn2-c2ccccn2)c[nH]1
50,[H]c1nc(-n2c([H])c([H])c3c([H])n([H])c(=Nc4c([H])c([H])c([H])c([H])c4C(F)(F)F)nc32)c([H])c([H])c1[H],51,1,FC(F)(F)c1ccccc1N=c1nc2c(ccn2-c2ccccn2)c[nH]1
51,[H]C(=NC(=O)C([H])([H])C([H])([H])[H])c1nc(-c2c(N([H])[H])n([H])c([H])nc2=Nc2c([H])c([H])c(OC([H])([H])c3nc([H])c([H])c([H])c3[H])c(Cl)c2[H])oc1[H],52,0,CCC(=O)N=Cc1coc(-c2c(N)[nH]cnc2=Nc2ccc(OCc3ccccn3)c(Cl)c2)n1
52,[H]c1c([H])c([H])c(N=c2nc(-c3nc4c([H])c([H])c([H])c([H])c4n3C([H])([H])[H])c([H])c([H])n2[H])c([H])c1[H],53,1,Cn1c(-c2cc[nH]c(=Nc3ccccc3)n2)nc2ccccc21
53,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1N=c1nc(-c2nc3c([H])c([H])c([H])c([H])c3n2C([H])([H])[H])c([H])c([H])n1[H],54,1,Cc1ccc(N=c2nc(-c3nc4ccccc4n3C)cc[nH]2)cc1
54,[H]c1c([H])c(N=c2nc(-c3nc4c([H])c([H])c([H])c([H])c4n3C([H])([H])[H])c([H])c([H])n2[H])c([H])c([H])c1Cl,55,1,Cn1c(-c2cc[nH]c(=Nc3ccc(Cl)cc3)n2)nc2ccccc21
55,[H]c1c([H])c(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c([H])c1N=c1nc(-c2nc3c([H])c([H])c([H])c([H])c3n2C([H])([H])[H])c([H])c([H])n1[H],56,1,Cn1c(-c2cc[nH]c(=Nc3ccc(N4CCOCC4)cc3)n2)nc2ccccc21
56,[H]c1nc(-n2c([H])c([H])c3c([H])n([H])c(=Nc4c([H])c(Br)c([H])c([H])c4C([H])([H])[H])nc32)c([H])c([H])c1[H],57,1,Cc1ccc(Br)cc1N=c1nc2c(ccn2-c2ccccn2)c[nH]1
57,[H]c1nc(-n2c([H])c([H])c3c([H])n([H])c(=Nc4c([H])c([H])c(I)c([H])c4C([H])([H])[H])nc32)c([H])c([H])c1[H],58,1,Cc1cc(I)ccc1N=c1nc2c(ccn2-c2ccccn2)c[nH]1
58,[H]Oc1c([H])c([H])c(N=c2nc(-c3nc4c([H])c([H])c([H])c([H])c4n3C([H])([H])[H])c([H])c([H])n2[H])c([H])c1Cl,59,1,Cn1c(-c2cc[nH]c(=Nc3ccc(O)c(Cl)c3)n2)nc2ccccc21
59,[H]Oc1c([H])c(N=c2nc(-c3nc4c([H])c([H])c([H])c([H])c4n3C([H])([H])[H])c([H])c([H])n2[H])c([H])c([H])c1OC([H])([H])[H],60,1,COc1ccc(N=c2nc(-c3nc4ccccc4n3C)cc[nH]2)cc1O
60,[H]c1c([H])c(OC([H])([H])C([H])([H])[H])c([H])c([H])c1N=c1nc(-c2nc3c([H])c([H])c([H])c([H])c3n2C([H])([H])[H])c([H])c([H])n1[H],61,1,CCOc1ccc(N=c2nc(-c3nc4ccccc4n3C)cc[nH]2)cc1
61,[H]c1c([H])c(OC([H])([H])[H])c([H])c([H])c1N=c1nc(-c2nc3c([H])c([H])c([H])c([H])c3n2C([H])([H])[H])c([H])c([H])n1[H],62,1,COc1ccc(N=c2nc(-c3nc4ccccc4n3C)cc[nH]2)cc1
62,[H]Oc1c([H])c([H])c(N=c2nc(-c3nc4c([H])c([H])c([H])c([H])c4n3C([H])([H])[H])c([H])c([H])n2[H])c([H])c1[H],63,1,Cn1c(-c2cc[nH]c(=Nc3ccc(O)cc3)n2)nc2ccccc21
63,[H]Oc1c([H])c([H])c([H])c(N=c2nc(-c3nc4c([H])c([H])c([H])c([H])c4n3C([H])([H])[H])c([H])c([H])n2[H])c1[H],64,1,Cn1c(-c2cc[nH]c(=Nc3cccc(O)c3)n2)nc2ccccc21
64,[H]c1c([H])c([H])c2c(nc(-c3nc4c(c([H])c3[H])c(=O)n(C([H])([H])[H])c(=O)n4C([H])([H])[H])n2C([H])([H])[H])c1[H],65,1,Cn1c(=O)c2ccc(-c3nc4ccccc4n3C)nc2n(C)c1=O
65,[H]c1c(C(=O)N([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])nc(-n2c([H])c([H])c3c([H])n([H])c(=Nc4c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c4[H])nc32)c([H])c1[H],66,0,COc1cc(N=c2nc3c(ccn3-c3cccc(C(=O)NCC(C)C)n3)c[nH]2)cc(OC)c1OC
66,[H]c1c([H])c(-n2c([H])c([H])c3c([H])n([H])c(=Nc4c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c4[H])nc32)c([H])c(C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c1[H],67,0,COc1cc(N=c2nc3c(ccn3-c3cccc(CCC(=O)NCCN(C)C)c3)c[nH]2)cc(OC)c1OC
67,[H]c1c([H])c(Oc2c([H])c([H])c([H])c3snc([H])c23)c(Cl)c([H])c1N=c1nc([H])n([H])c2c([H])c([H])n(C([H])([H])C([H])([H])N([H])C(=O)C(N([H])[H])(C([H])([H])[H])C([H])([H])[H])c12,68,0,CC(C)(N)C(=O)NCCn1ccc2[nH]cnc(=Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21
68,[H]c1c(N=c2nc(N=c3c([H])c([H])c([H])c([H])n3[H])c(C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])c([H])n2[H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1OC([H])([H])[H],69,0,CCOC(=O)Cc1c[nH]c(=Nc2cc(OC)c(OC)c(OC)c2)nc1N=c1cccc[nH]1
69,[H]c1nc(-n2c([H])c([H])c3c([H])n([H])c(=NC([H])([H])c4c([H])c([H])c([H])c([H])c4[H])nc32)c([H])c([H])c1[H],70,1,c1ccc(CN=c2nc3c(ccn3-c3ccccn3)c[nH]2)cc1
70,[H]OC([H])([H])c1c([H])c([H])c(C([H])([H])[H])c(N=c2nc3c(c([H])c([H])n3-c3nc([H])c([H])c([H])c3[H])c([H])n2[H])c1[H],71,1,Cc1ccc(CO)cc1N=c1nc2c(ccn2-c2ccccn2)c[nH]1
71,[H]c1c([H])c(-n2c([H])c([H])c3c([H])n([H])c(=Nc4c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c4[H])nc32)c([H])c(C([H])([H])C(=O)N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1[H],72,0,COc1cc(N=c2nc3c(ccn3-c3cccc(CC(=O)NC4CCCC4)c3)c[nH]2)cc(OC)c1OC
72,[H]c1nc(-n2c([H])c([H])c3c([H])n([H])c(=Nc4c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c4[H])nc32)c([H])c([H])c1[H],73,1,COc1cc(N=c2nc3c(ccn3-c3ccccn3)c[nH]2)cc(OC)c1OC
73,[H]c1nc([H])c(-n2c([H])c([H])c3c([H])n([H])c(=Nc4c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c4[H])nc32)c(OC([H])([H])[H])c1[H],74,1,COc1ccncc1-n1ccc2c[nH]c(=Nc3cc(OC)c(OC)c(OC)c3)nc21
74,[H]Oc1c([H])c2c([H])n([H])c(=Nc3c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c3[H])nc2n1-c1nc([H])c([H])c([H])c1[H],75,1,COc1cc(N=c2nc3c(c[nH]2)cc(O)n3-c2ccccn2)cc(OC)c1OC
75,[H]c1c(C(=O)N([H])C([H])([H])[H])nc(-n2c([H])c([H])c3c([H])n([H])c(=Nc4c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c4[H])nc32)c([H])c1[H],76,0,CNC(=O)c1cccc(-n2ccc3c[nH]c(=Nc4cc(OC)c(OC)c(OC)c4)nc32)n1
76,[H]c1sc(-n2c([H])c([H])c3c([H])n([H])c(=Nc4c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c4[H])nc32)c([H])c1[H],77,1,COc1cc(N=c2nc3c(ccn3-c3cccs3)c[nH]2)cc(OC)c1OC
