,0,1,cluster,SMILES_standardized
352,[H]c1c([H])c(C(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c([H])c1N=c1n([H])c([H])c(C(F)(F)F)c(=NC2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])N(C([H])([H])[H])C([H])([H])[H])n1[H],353,0,CCN(CC)C(=O)c1ccc(N=c2[nH]cc(C(F)(F)F)c(=NC3CCCC3N(C)C)[nH]2)cc1
353,[H]c1c([H])c2c(c([H])c1N=c1n([H])c([H])c(C(F)(F)F)c(=NC3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])N(C([H])([H])[H])C([H])([H])[H])n1[H])C1([H])N(C(=O)C([H])([H])[H])C2([H])C([H])([H])C1([H])[H],354,0,CC(=O)N1C2CCC1c1cc(N=c3[nH]cc(C(F)(F)F)c(=NC4CCCC4N(C)C)[nH]3)ccc12
354,[H]Oc1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])C([H])([H])C2([H])C(=O)C([H])([H])C([H])([H])C3(C([H])([H])[H])C2([H])C([H])([H])C([H])(O[H])C3([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c1[H],355,0,Cc1ccc(O)cc1CCC1C(=O)CCC2(C)C1CC(O)C2C(C)CCCC(C)C
355,[H]Oc1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])C([H])([H])C2([H])C(=O)C([H])([H])C([H])([H])C3(C([H])([H])[H])C2([H])C([H])([H])C([H])([H])C3([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c1[H],356,0,Cc1ccc(O)cc1CCC1C(=O)CCC2(C)C(C(C)CCCC(C)C)CCC12
356,[H]c1c([H])c([H])c(C(=O)N([H])C([H])([H])[H])c(N=c2c(Cl)c([H])n([H])c(=Nc3c([H])c([H])c(N4C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])c([H])c3OC([H])([H])[H])n2[H])c1[H],357,0,CNC(=O)c1ccccc1N=c1[nH]c(=Nc2ccc(N3CCOCC3)cc2OC)[nH]cc1Cl
357,[H]c1nn(C([H])([H])C([H])([H])N([H])c2c([H])c([H])n([H])c(=O)c2-c2nc3c(C([H])([H])[H])c([H])c(C4([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])F)C([H])([H])C4([H])[H])c([H])c3n2[H])c([H])c1Cl,358,0,Cc1cc(C2CCN(CCCF)CC2)cc2[nH]c(-c3c(NCCn4cc(Cl)cn4)cc[nH]c3=O)nc12
358,[H]Oc1c([H])c([H])c(N([H])C(=S)N([H])C(=O)c2c([H])c([H])c([N+](=O)[O-])c([H])c2[H])c([H])c1-c1nc2c([H])c([H])c([H])c([H])c2s1,359,0,O=C(NC(=S)Nc1ccc(O)c(-c2nc3ccccc3s2)c1)c1ccc([N+](=O)[O-])cc1
359,[H]Oc1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])C([H])([H])C2([H])C([H])(O[H])C([H])([H])C([H])([H])C3(C([H])([H])[H])C2([H])C([H])([H])C([H])(O[H])C3([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c1[H],360,0,Cc1ccc(O)cc1CCC1C(O)CCC2(C)C1CC(O)C2C(C)CCCC(C)C
360,[H]Oc1c([H])c(O[H])c2c(=O)c3c(C([H])([H])[H])c([H])c(O[H])c([H])c3oc2c1[H],361,2,Cc1cc(O)cc2oc3cc(O)cc(O)c3c(=O)c12
361,[H]c1nc(C([H])([H])N=c2c(C(F)(F)F)c([H])n([H])c(=Nc3c([H])c([H])c4c(c3[H])c([H])c([H])n4C([H])([H])[H])n2[H])c([H])c([H])c1[H],362,1,Cn1ccc2cc(N=c3[nH]cc(C(F)(F)F)c(=NCc4ccccn4)[nH]3)ccc21
362,[H]Oc1c([H])c2c([H])c(N=c3n([H])c([H])c(Br)c(=NC([H])([H])c4nc([H])c([H])c([H])c4[H])n3[H])c([H])c([H])c2n1[H],363,1,Oc1cc2cc(N=c3[nH]cc(Br)c(=NCc4ccccn4)[nH]3)ccc2[nH]1
363,[H]Oc1c([H])c2c([H])c(N=c3n([H])c([H])c(C#N)c(=NC([H])([H])c4nc([H])c([H])c([H])c4[H])n3[H])c([H])c([H])c2n1[H],364,1,N#Cc1c[nH]c(=Nc2ccc3[nH]c(O)cc3c2)[nH]c1=NCc1ccccn1
364,[H]Oc1c([H])c2c([H])c(N=c3n([H])c([H])c(C(F)(F)F)c(=NC([H])([H])c4nc([H])c([H])c([H])c4[H])n3[H])c([H])c([H])c2n1[H],365,1,Oc1cc2cc(N=c3[nH]cc(C(F)(F)F)c(=NCc4ccccn4)[nH]3)ccc2[nH]1
365,[H]Oc1c([H])c2c([H])c(N=c3n([H])c([H])c(C(F)(F)F)c(=NC([H])([H])c4c([H])c([H])c([H])c([H])c4[H])n3[H])c([H])c([H])c2n1[H],366,1,Oc1cc2cc(N=c3[nH]cc(C(F)(F)F)c(=NCc4ccccc4)[nH]3)ccc2[nH]1
